Chinese	English
要么是他的举止，要么是他的表情。	Either by his demeanour or in his countenance.
在2000年，药物管制署中止参加一些重要的国际会议，而这些会议讨论的药物滥用问题是其任务的核心，但象劳工组织、卫生组织和区域组织这样的组织却仍然参加这些会议。	In 2000, UNDCP discontinued attending some important international meetings on drug abuse issues central to its mandate, although these meetings were still attended by organizations such as ILO, WHO and regional organizations.
你知道，我脑子里有关于硅谷的仙女和糖李子，我想来这里尝试建造一些令人惊叹的东西。	And i had you know fairies and sugarplums in my head about silicon valley and wanted to come here and and attempt to build something amazing.
碳纳米管复合带。	Carbon nanotube composite ribbon.
关于两个女孩试图弄清楚需要多少钱的视频。	a video about two girls attempting to figure out how much money is needed
祈祷是开始，	Prayer is the start,
没有什么比看到士兵的妻子和其他妇女更普遍的了，	nothing so common as to see the soldiers wives, and other women, who
神经系统。局部外用，反复使用，它将使凸起部位变平。	nervous system. Applied topically, repeatedly, it will flatten a raised
要是这酒是加利福尼亚产的，我也许会信你。	Maybe if the wine were californian, I'd believe it.
直到1956年，发现了10个含有古代手稿的洞穴并进行了挖掘。其中第4个洞穴是最重要的发现，其出土的手稿和碎片数量超过了其他所有洞穴的总和。第3个洞穴出土了著名的铜卷。	Ten other caves containing ancient manuscripts were discovered and excavated up until 1956. Cave 4 was the outstanding find and yielded more manuscripts and fragments than all of the other caves put together. Cave 3 yielded the famous copper scroll.
现在他们会说他做家务。	And now they're going to say he does the housework.
现在，	Now,
工作文件和预算是否有透明度，	Could there be transparencies of working documents and budgets,
今年是分析和出版的一年。	And this year is the year of analysis and publication.
1958年11月11日	11 November 1958
女性犯罪者	Women offenders
被告现在甚至不用进入法庭就可以被判刑。	A defendant can now be sentenced without even entering a courtroom.
在柔软的垫子上，你懒洋洋地躺着，享受着安逸的乐趣。	Against soft cushions, you lay, indolent delight.
汽车轮胎可以卖给那些回收此类轮胎的工厂。它们通常会被回收并制成自行车轮胎或鞋底。	Car tires can be sold to factories that recycle such. They are often recycled and produced into bicycle tires or shoe soles.
沈君谅	Shen Junliang
她自己，安全地在现场之上，感受到了一种威胁理智的无名散发的微妙影响。	She herself safely above the scene felt the subtle impact of a nameless emanation that was a threat to sanity.
所有成本的价格都已报价，并且我成功谈下了更好的印刷价格。所有这些工作将由拥有多年经验的专业人士来完成，无论是否进行宣传活动，书籍都将被印刷。	Prices for all costs have been quoted for and I managed a better deal for printing. All this will be done by professionals with many years of experience and regardless of the campaign the books will be printed.
当然，这对他们来说就像美味一样。	And of course that's just like delicious for them.
但是他的自尊心岌岌可危。	But his ego is on the line.
所谓的秘密姐妹骗局。	What's known as secret sister scams.
导致许多人质疑岸上石油钻探和液压带来的风险。	caused many to question the risks posed by shore oil drilling, hydraulic
巴肯页岩区目前约有9000口油井在开采，未来17年内这一数字将激增50000。	9,000 wells operate in the Bakken shale region. That number is expected to grow quickly, hitting 50,000 within the next 17 years.
每个民族都有要接近另一个民族的意识，这个标准尽管主观，但却更接近现实。	Albeit subjective, the criterion that seems closest to reality is each ethnic group's sense of being close to another ethnic group.
卡塔尔国认为，和平或预防性的解决方法要比使用武力更加重要和合理，因此我们同联合国和友好国家合作，一再作出外交努力，以解决区域和国际问题，并保护受其影响的人民。	Out of its belief that peaceful or preventive solutions are more important and legitimate than the use of force, the State of Qatar has made repeated diplomatic efforts, in cooperation with the United Nations and friendly States, to solve regional and international problems and to protect those affected by them.
并且这些有限的工具还不是免费的。	Those few tools were not freely available either.
很多的观众一直徘徊在金色大厅不愿离去，直到深夜才一一散去。	Many people didn't leave the Golden Hall until late at night.
另一方面，我的阿姨苏喜欢安静地坐在海边，画风景画，聆听海浪拍打的声音。她在未经破坏的自然风光中找到了平静，更喜欢避开拥挤的地方。对她来说，甲米就像是人间天堂。别忘了她能带回家的那些作为纪念的精彩照片！	On the other hand, my Aunt Sue adores sitting quietly near the ocean, painting landscapes and listening to calming sounds of crashing waves. She finds peace amidst unspoiled sceneries and prefers avoiding crowded areas. For her, Krabi seems like heaven on earth. Don't forget those amazing photos she could take home as memories!
这一办法把一系列项目与一些政策和社会安排结合起来，所根据的就是它们之间的相互依存性和共同的总体目标。	This approach combines a set of projects with policies and social arrangements, using their interdependence and common overall objectives.
在那里，一些春天从悬崖上潺潺流淌，或者一些波光粼粼的山溪在他们面前荡漾。	Where some spring gurgled from the cliff or some sparkling mountain stream rippled before them.
这会使做出正确的诊断变得极其困难。	can make proper diagnosis extremely difficult.
2012年开展了大量工作以改善对争议法庭和上诉法庭判决和命令的存取访问，并在两法庭之间建立链接。	Extensive work was done in 2012 to improve access to Dispute Tribunal and Appeals Tribunal judgements and orders and to provide linkages between the two Tribunals.
需要国际社会为基础设施项目的实施提供技术和财政援助，因为这些项目既有助于刺激经济，也有助于积极雇用青年。	Technical and financial assistance for the implementation of infrastructure projects is needed from the international community, as such projects could contribute both to stimulating the economy and to constructively employing youth.
当他们翻开书时，他们注意到了美丽的插图，上面展示着代表欧洲每个地区的不同旗帜、传统服饰和象征符号。出于好奇，他们开始一起大声朗读。很快，他们发现民族主义意味着热爱自己的文化、语言和历史。	As they opened the book, they noticed beautiful illustrations showing different flags, traditional clothing, and symbols representing each region in Europa. Curious, they started reading aloud together. Soon enough, they discovered that nationalism meant loving one's own culture, language, and history.
但是只是纸上的胜利。	But it was a victory on paper.
我被我的高中心理学老师性虐待。	I was sexually abused by my high school psychology teacher.
另一个议题是破产领域的仲裁问题。	Another topic was the issue of arbitration in the field of insolvency.
否则，将输入序列分为偶数和奇数索引的元素。	2. Otherwise, divide the input sequence into even and odd indexed elements.
这是在1991年之前实行的制度。	That system was in place until 1991.
聚会上没有一个人真的不开心。	None of the party was really unhappy.
看起来法律又回到了术士身上。	Looks like laws coming back to warlock.
谢谢你，总统先生。	Thank you mr president.
听觉受损程度	Degree of hearing impairment Definition
我们需要太空服吗，先生？马内蒂问道。	Do we need spacesuits sir manetti asked.
疣骨炎可以通过向感染耳朵滴入温荨麻油滴剂来治疗。大蒜油是另一种与治疗各种感染引起的耳痛相关的家庭疗法。这可以通过将橄榄油与两瓣去皮的大蒜混合，煮沸10分钟，然后过滤得到的溶液来制作。在感染耳朵中滴入一到两滴可以提供轻松而快速的疼痛缓解。	Mastoiditis can be treated by pouring drops of warm Mullein oil in the infected ear. Garlic oil is another home remedy associated with treating ear aches from various infections. This can be made by mixing olive oil with two peeled cloves of garlic, boiling for 10 minutes and then straining the resulting solution. One or two drops in the infected ear can provide easy and quick pain relief.
纳米比亚代表团感谢粮食及农业组织的持续支持以及旨在提高生产和技术转让的现行项目。	His delegation thanked the Food and Agriculture Organization of the United Nations for its continued support and ongoing projects aimed at improving production and technology transfer.
随着年龄的增长，你会遇到许多休闲活动机会，其中一些可能会涉及赌博。这些关于其潜在风险和利益的知识将帮助你做出明智的决定并维持平衡的生活方式。	As you grow older, you will encounter many opportunities for leisure activities, some of which might involve gambling. Equipping yourself with knowledge about its potential risks and benefits will enable you to make informed decisions and maintain a balanced lifestyle.
2005年5月3日星期二上午10时在纽约总部举行	Held at Headquarters, New York, on Tuesday, 3 May 2005, at 10 a.m.
他连忙离开战场，回到了舍瓦尔金诺土岗。	He hastened away from the field of battle and returned to Shevardino.
该机混合均匀，粘合剂用量少，粘合能力强。	It features mixing uniform, less amount of binder , strong adhering.
提交人提供了十一名出席葬礼者签名的申诉书，证明报告所述的尸体状况。	The author has produced a petition signed by 11 persons who attended the funeral, confirming the condition of the deceased's body as reported above.
在本报告期间，共有126名儿童，其中包括60名女童，被武装分子绑架。	A total of 126 children, including 60 girls, were abducted by armed elements in the reporting period.
这将使威尔逊宫的使用率接近其额定人数。	This would bring the occupancy level of the Palais Wilson into close alignment with its certified capacity.
可以肯定的是，这并没有减少她对咖啡和炒鸡蛋的胃口，	It is certain that it did not diminish her appetite for the coffee and the scrambled eggs,
所以冰箱特权是指在你的生活中有一些人，如果他们进入你的家，	So refrigerator privilege is the idea that there are certain people in your life that if they enter into your home,
对于那些还在上学或刚刚进入劳动力市场的人来说，	For those still in school or just entering the workforce,
完成选项黑色。这实际上是一张好照片。	Ah finish option black that's that's a good picture actually.
前进，是的，前进。	Ah moving forward.
其次，考虑到用来估计每个区域的趋势的计算与区域人口有关，在区域之间直接进行趋势比较是不可能的。	Secondly, considering that the calculation used to estimate trends for each country is related to the population of the region, it is not possible to directly compare trends between the regions.
这笔资金将涵盖内部和外部交通通道、度假村和滑雪道开发的建设。	The sum will cover the construction of internal and external transportation lanes, resorts and ski slope development.
与过去十年相比，妇女参加全国、地区包括南亚联盟和国际运动会得到了大力促进，人数有了明显增加。	Women's participation in national, regional including South Asian Federation and international games has been largely promoted and increased compared to that of the last decade.
岁月如梭，厄格顿重归和平，邻里之间只留下珍贵的回忆和故事。而尽管仍有诸多疑问待解，每个人却从中汲取到了关于爱、理解和接纳的宝贵教训。无论生活带给我们什么，或障碍重重，只要我们携手前行，便能以优雅、智慧和真挚的对话应对一切。	In time, peace returned to Eggerton, leaving nothing but cherished memories and stories shared between neighbors. And though certain questions remained unanswered, everyone learned valuable lessons about love, understanding, and acceptance. For no matter where life takes us or what obstacles arise, together we can navigate anything with grace, wisdom, and heartfelt conversation.
她会允许这个机会去改变你所有那些情绪和动作上的担忧，这些担忧可能让你不敢尝试并给出你能够做到的最佳公共演讲。	She will allow the opportunity to change all of that emotion and motion of concerns that you may be thinking about therefore putting you off in having a go and delivering the best public speaking presentation that you can.
结束有罪不罚的文化	Ending the culture of impunity
既然我生而自由，请允许我享受我的国内机构。	Since i am born free allow me to enjoy my domestic institutions.
脉冲陶瓷技术允许几个特别有利的解决方案。	Pulse ceramic technology allows for several especially advantageous solutions.
他的演讲很吸引人。	Very drawn in his speech.
因此，让我们深入了解这些历史事件。我们将探索这两组审判中发生的事情，发现关键人物，了解所犯的各种罪行，并了解这些事件如何成为全球战争法和人权的一个转折点。准备好踏上激动人心的穿越时间的旅程，同时学习宝贵的经验教训吧！	So, let's dive deeper into these historic events. We will explore more about what happened in both sets of trials, discover key figures, understand various types of crimes committed, and see how this marked a turning point towards global rules of warfare and human rights. Get ready to embark on a thrilling journey through time while learning valuable lessons along the way!
所以他说的是，实际上他学到的是，你很快同意的东西不值得写在纸上，因为没有人致力于它。	So what he said is that actually what he'd learnt was that something you agree to fast isn't worth the paper it's written on because nobody's committed to it.
埃及重申在经济政策和打击贫困斗争中考虑到两性问题的必要性，因为这是对发展构成障碍的问题，特别是对妇女影响更甚。	49. Egypt reaffirmed the need to take gender issues into account in economic policies and in the battle against poverty, an obstacle to development that hit women especially hard.
新时代的质疑哲学。	The questioning philosophy of a new age.
但我支持最大限度地提高在该地区和整个城市建造更多住房的能力，	But i support maximizing the ability to build more housing in the area and throughout the rest of the city,
大概在那个时候，我的音乐家父母就意识到他们唯一的儿子并没有遗传音乐天赋。	This was around the time my musician parents recognized that their one and only offspring was not musically gifted.
无情地灌输我对他人的慷慨和同情，	Relentlessly instilled in my generosity and compassion toward others,
如果可能的话，在计算机室安排时间，以便给予	be timetabled in a computer room if possible in order to give
请对每位参与者表示真诚的感谢，感谢他们的时间和贡献。	Remember to thank each participant sincerely, expressing gratitude for their time and input.
妈妈，别这样，没人会赶他们出家门。	Ma. come on. nobody's throwing anybody out.
为了减轻各工作人员养恤金委员会医疗顾问的负担，拟议把这类案例的审查期间从三年增至五年，具体由审议案例的工作人员养恤金委员会酌情决定。	To ease the burden on the medical consultant to each Staff Pension Committee, it was proposed that the review period for such cases be increased from three to five years, at the discretion of the Staff Pension Committee considering the case.
看在上帝的份上，彼得！珍妮喊道，	For goodness' sake peter exclaimed jenny,
文学手法与想象性诠释	6.2 Literary Devices and Imaginative Interpretation
精神疾病已经取代失业，成为我们在劳动力市场方面所面临的最大问题。	Mental illness has taken over from unemployment as our biggest labour market problem.
摆个瑜伽姿势	Strike a pose for yoga
作为多边裁军机构的一部分，裁军审议委员会应当继续发挥其独特的作用。	As part of the multilateral disarmament machinery the Disarmament Commission should continue to play its own unique role.
在我们的收购计划中，我们真的应该更加天主教。	It really behooves us to be much more catholic in our acquisitions programs.
投资者就像，	The investors were like,
他们在看几周前甚至几个月前的航空照片或卫星照片。	They were looking at aerial photographs or satellite photographs that were weeks old and possibly even months old.
确实是一只翠鸟。我相信这是你们许多人在农场见过的生物，	A kookaburra indeed i am sure this is a creature that many of you have seen on your farm,
在此方面，委员会对缺乏全面方法预防并消除一切形式的暴力侵害妇女行为表示关切。	In this respect, the Committee expresses its concern at the absence of a holistic approach to the prevention and elimination of all forms of violence against women.
该部门也在尽力寻找和关注这些妇女，以便能在她们处于困境时给予帮助。	The Department tried to find and monitor those women too, so as to be able to help them if they found themselves in difficulties.
柯林斯以二垒手身份出场2826场比赛的纪录保持着纪录。他是3000次安打俱乐部的少数成员之一。	Collins holds the record for most games played by a second baseman at 2826. He is one of the few members of the 3000 hits club.
还有其他概念，比如每个人都有光的概念，也就是说，他自己意识的光。	There are also other concepts like the concept that within every human being is the light that is the light of his own consciousness.
混合物被铺在这些支撑物的上方和下方以创建一个平整的表面。	mixture was laid over and under these supports to create a level
让学生独立阅读自己选择的小说或在小组内阅读。	3. Have students dive into reading their chosen novel independently or within small groups.
但是有学生在	But there are students shot during
负片或打印细节最多的版，因此其图像指导其他版的图像对齐。也称为关键印刷版。	Negative or plate that prints the most detail, thus whose image guides the register of images from other plates. Also called key printer.
大数字很有趣。大数字真是太有趣了。孩子们喜欢谈论最大的数字，以及是否存在这样的数字。当他们提出这些问题时，会有各种各样的美好思考在进行。	Big numbers are fun. Boy howdy are big numbers fun. Children love to talk about the biggest number, and whether one exists. There is all kinds of lovely thinking going on when they ask these kinds of questions.
她感谢已全额缴付基本建设总计划摊款的113个会员国，并敦促所有会员国全额按时缴付基本建设总计划的摊款，以便确保及时执行该项目。	She thanked the 113 Member States that had paid their capital master plan assessments and urged all Member States to pay their assessed contributions in full and on time to ensure the timely implementation of the plan.
第一，设立法院，一个着眼点就是可能威胁和平与安全的犯罪。	First, the Court was established with an eye to crimes likely to threaten peace and security.
政府的工作令人垂涎，而且很难得到。	A job with the administration is coveted and hard to get.
经济学家经常将通过法案所需的时间称为立法滞后。最后，一旦政府通过法案，就需要一些时间将资金分配给适当的机构来执行这些项目。经济学家称启动项目的时间滞后。	Economists often refer to the time it takes to pass a bill as the legislative lag. Finally, once the government passes the bill it takes some time to disperse the funds to the appropriate agencies to implement the programs. Economists call the time it takes to start the projects the implementation lag.
已婚女性的子女数量	Number of children of married women
燃料过滤器。现在，	Fuel filter now,
职业学校网络基本上遍布全国领域。	The vocational school network is evenly distributed across the territory of the whole country.
把它变成安静的放纵，然后痛苦地复制它们，通过看到它们来感觉更好，然后躺在他的垫子上。	Turning it to quiet indulgence then copied them painfully to feel them the better by seeing them then lay back on his bolster.
审计署署长的审核	Director of Audit's examination
这位候选人在预算问题上使自己陷入困境。	The candidate out on a limb on the budget issue .
重新考虑风险在组合管理中的作用，是具有数学头脑的人探索的另一个领域。	A reconsideration of the role of risk in portfolio management is another avenue for exploration by the mathematically minded.
这也是关于孩子们如何学习得更好的理论或假设。	It's also about a series of hypotheses about how kids will learn better.
解开海兔的多样性与进化	Untangling the diversity and evolution of Sea Hares
解释一下。	Explain that.
大会号召我们对正在加深的贫富间的鸿沟给予特殊关注。	The General Assembly is being called on us to deepen the divide between the rich and the poor to give special attention.
如果我们意识到自己犯下了致命的罪，我们必须首先参与忏悔圣事。教会认为这两个圣事是相互关联的，并敦促我们在可能的情况下，将频繁的忏悔与频繁的圣体圣事结合起来。	If we are aware of having committed a mortal sin, we must participate in the Sacrament of Confession first. The Church sees the two sacraments as connected, and urges us, when we can, to join frequent Confession with frequent Communion.
新鲜的寒冷空气中隐隐充满了松香的香气，	The fresh chill air was faintly charged with the aroma of pine balsam,
如今，要理解就要被发现。	Nowadays to be intelligible is to be found out.
就在我告诉每个人我要建造这座教堂之后，	Right after i had told everybody i was going to plant this church,
如果这就是你需要的内容，那你为什么打印整个文件呢？	If that is all you need, why are you printing the entire document?
带着新发现的洞察力，艾米丽继续练习，以理解和耐心对待每一种感觉。虽然过程缓慢，但肯定的是，头痛的剧烈程度减轻了，直到完全消失。剩下的就是一种她以前从未经历过的清晰感和接受感。也许陈先生的智慧里确实蕴藏着真理。	Armed with newfound insight, Emily continued her practice, meeting each sensation with understanding and patience. Slowly but surely, the intensity of her headaches lessened until they disappeared entirely. What remained was a sense of clarity and acceptance she hadn't experienced before. Perhaps there was truth in Mr. Chen's wisdom after all.
所有人生来平等。	That all men are created equal.
回顾性研究永远不能证明因果关系。	Retrospective studies never prove cause and effect.
他们使用的传感器是我们在医院中许多人见过的标准指尖传感器，但鉴于建筑工人的手是他们赖以生存的工具，因此下一步自然是开发头盔。	The sensor they use is the standard fingertip sensor many of us have seen in hospitals, but since a construction worker's hands are their bread and butter, the helmet was the next logical step.
从来没有死亡的恐惧。	There was never fear of death.
一个人对它的本能通常是暴力的。	One's instinct around it is usually violent.
美国的拉美裔人口增长速度是美国总人口的四倍。	Nation's Hispanic Population Grew Four Times Faster Than Total U.S. Population
现在，让我们看看我们关于互相信任和信任的隐含期限学到的东西是否能应用到萨拉的情况中。汤姆森先生对待萨拉公平吗？不！他利用偏见和虚假谣言来行事，违反了隐含的条款。他的不良行为损害了他与萨拉的关系，并对整个工作环境产生了负面影响。	Now let's see if we can apply what we learned earlier about the implied term of mutual trust and confidence to Sarah's situation. Did Mr. Thompson act fairly towards Sarah? Nope! By playing favorites and spreading false rumors, he violated the implied term. His poor behavior damaged his relationship with Sarah and affected the entire workplace environment negatively.
大约2英寸和3英寸厚。	Something like two and three eight inches thick.
虽然我们并不期望这样的测试能帮助我们直接理解人类与机器人之间的互动，但他们可能有助于我们更好地理解酒精对人类恐惧和焦虑的影响。	"""While we do not expect such tests to help us understand human robot interactions per se, they may improve our understanding of the effect of alcohol on human fear and anxiety."""
默里先生在吗？	Mr murray here?
信息与您的家庭医生和其他专科医生讨论	Information to Discuss with Your Primary Care Physician and other Specialists
对于那些和我在那个房间里和那些孩子在一起的人，	For those of you who are in that room with me with those children,
首先，在夏天，它们会储存大量的食物，包括昆虫和种子。蛾类、甲虫，甚至是蚜虫都被藏在树皮的裂缝里，或是地衣的粗糙边缘下。	First, during summer, they cache a great deal of food, both insects and seeds. Moths and beetles and even aphids are stashed away in bark crevices, and under the rough edges of lichens.
连接可用后，便可以将对数据岛所做的更改传播回服务器数据源。	Changes made to the data island can be propagated back to a server data source once a connection is available.
没有吗？龙女低声说，在我看来，这很幼稚。	No drawled the dragonette it seems to me very babyish.
我不知道我是否有这个权利。	I don't know if i have that right.
如果世界遗产名录申请成功，预计每年将有8万人参观布吉宾地区。	Should the World Heritage List application be successful, an estimated 80,000 people could visit the Budj Bim area every year.
高档餐厅更有可能随着时间的推移而被铭记，但普通餐厅往往拥有同样丰富的历史，并且在社会日常运作中发挥了更重要的作用。	Luxury restaurants are more likely to become memorialized by time, but often ordinary restaurants have a history that is equally rich and played a more significant role in the everyday functioning of society.
我不得不说，我不相信我们现在正在这样做。	And i'm not convinced that we're doing it at the moment i have to say.
编辑认为封面很重要，因为他们知道他们希望人们被这本书吸引，拿起它，看着文本。	Editors think think think that the cover is important because they know that they want people to be attracted to the book and to pick it up and to and to look at the text.
你知道你想来和我和舍林一起踢它。所以你应该这么做。方法如下。	You know that you want to come and kick it with me and shereen so you should do that and here's how.
美国在伊拉克的战争和占领计划是历史错误。	U.S. PLANS FOR WAR AND OCCUPATION IN IRAQ ARE A HISTORICAL MISTAKE
2000年11月1日	1 November 2000
我们现在有一个几乎取之不尽的能源来源，	We have a practically inexhaustible source of energy now,
反主流文化成员常常通过留长发、穿鲜艳服装、听摇滚乐和民谣等新式音乐来表达自我。他们还倡导和平、爱与社区等理想。许多人反感物质主义和消费主义，更倾向于过简朴的生活，注重个人成长和自我实现。	Members of the counterculture often expressed themselves by growing long hair, wearing colorful clothing, and listening to new types of music such as rock 'n roll and folk. They also embraced ideals like peace, love, and community. Many were against materialism and consumerism, preferring instead to live simpler lives focused on personal growth and fulfillment.
通过二次发酵和陈酿过程增强风味	E. Enhancing flavors through secondary fermentation and aging processes
他相信主席和秘书处会作出努力。	In that regard he would be guided by the Chairman and the Secretariat.
同时，现实电视鼓励观众参与监视过程。观众被邀请投票让参赛者淘汰，评论他们的行为，甚至影响节目的结果。这种积极的参与感在观众和制作人之间创造了一种共谋的感觉，进一步使持续监控的概念正常化。	At the same time, reality TV encourages viewers to participate in the surveillance process. Audiences are invited to vote off contestants, comment on their behavior, and even influence the outcome of the show. This active engagement creates a sense of complicity between viewers and producers, further normalizing the idea of constant monitoring.
配料的种类要有限得多。它通常限于不同种类的黑麦面粉，盐，	The repertoire of ingredients is much more limited it's typically limited to to different kinds of rye flour salt,
我想他只是。	I think he just.
总的来说，文化能力挑战是一个重大问题，它不仅伤害了边缘化人群，还加剧了公平、平等和包容性的问题。个人和机构必须认识到文化能力的重要性，并积极努力克服偏见，促进包容性。只有这样做，我们才能创造一个尊重和珍视其成员多样性的社会。	In conclusion, cultural competency challenges are a significant issue that not only hurts marginalized people but also exacerbates fairness, equity, and inclusion. It is imperative for individuals and institutions to recognize the importance of cultural competency and actively work towards overcoming biases and promoting inclusivity. Only by doing so can we create a society that values and respects the diversity of its members.
在该项目中，如果没有合适的亲属或非亲属骨髓捐赠者，患者会接受脐带血。随着	of the project, patients received cord blood if they did not have a suitable related or unrelated bone marrow donor. As the
我可以看到如何。	I could see how.
我开始怀疑评论者就像她自己，一个东亚人。	L begin to suspect that the commenter was like herself an east asian person.
这意味着，对于南非的经济和人民意味着什么呢？由于国家能力低下和空间排斥程度高，企业很难增长、创新和创造就业机会。因此，较少的就业机会导致较高的失业率，尤其是在边缘化群体中尤为明显。此外，贫困变得根深蒂固，使得个人难以跳出劣势的循环。	So, what does this mean for South Africa's economy and its people? With low state capacity and high levels of spatial exclusion, businesses find it challenging to grow, innovate, and provide jobs. As a result, fewer employment opportunities lead to higher unemployment rates, especially among marginalized groups. Additionally, poverty becomes deeply entrenched, making it difficult for individuals to break free from the cycle of disadvantage.
这种报告将很有助益，可补充年度报告。	Such reports would be very useful as a complement to the annual report.
直接进入太空，因为当你穿这个的时候，	Just go right into the space because when you're wearing this,
不浪漫的小提琴！无情的玛丽拉说。	Unromantic fiddlesticks said the unsympathetic marilla.
它造成持续要求保护的游说团体并且在实行自由化时要经过重大的改革。	It creates lobbies for continuing protection and will have to undergo significant change when liberalization occurs.
在这一教堂中，存在两种柱子，它们属于古典建筑的两种不同等级。	In this church there are two types of columns present belonging to two different orders of classical architecture.
点击谷歌课堂登录我们的学习平台。	Click on Google Classroom to log in to our learning platform.
在过去的三十年里，他刻苦完善在微小的米粒、罂粟籽甚至头发上写字的技术。	During the past three decades he has perfected the painstaking skill of writing on tiny grains of rice, poppy seeds and even human hair.
联合国审计委员会监测为落实其提出的旨在改进监督事务司业务的各项建议而开展的行动。	The United Nations Board of Auditors monitored the actions to implement their recommendations aimed at improving DOS operations.
汽车修理店老板没有意识到这些假刹车片很可能在一个参与毒品和卖淫的有组织犯罪团伙的口袋里。	And what the car repair shop owner doesn't realize about those fake brake pads is they may well be lining the pockets of an organized crime gang involved in drugs and prostitution.
越南还期待联合国开展更协调一致而有效的发展活动，以更好地回应受益国的需求、优先事项和具体条件。	Viet Nam also looks forward to more coherent, consistent and effective development activities of the United Nations so as to better respond to the demands, priorities and specific conditions of recipient countries.
盒子之战！	Battle of the box!
在跨文化宗教工作的旅程中，我们将探索加纳妇女在妇女社会角色中的作用。这将帮助我们认识到不同社会如何重视并让妇女参与社区。通过了解这些文化差异，我们可以成为基督教有效代言人，促进尊重的关系，同时分享我们的信仰。	In our journey through religious ministry across various cultures, we will explore the role of women in Ghanaian society. This will help us appreciate how different societies value and involve women in their communities. By learning about these cultural differences, we can become more effective ambassadors of Christianity, fostering respectful relationships while sharing our faith.
他说，并非如此。虽然我们需要新型技术来取代化石燃料，但沙漠化不能仅靠技术来逆转。那需要我们倒退一步，开始模仿自然和过去的事物。	Not so, he says. While we do need novel technology to replace fossil fuels, desertification cannot be reversed with technology. For that, we need to revert backward, and start mimicking nature and the way things were in the past.
这种背景差别的出现同关于和平时期防灾和应灾以及发生灾害时人员保护问题的法律的适用性与关于武装冲突的国际人道主义法律规则的适用性之间基本的区别有关。	Such contextual differentiation, instead, emerges as a function of the basic distinction between the applicability of the law governing disaster prevention and response, as well as the protection of persons in the context of disasters, during peacetime, as opposed to that of the rules of international humanitarian law governing armed conflict.
联合国最近敦促所有会员国立即缔结一项具有法律约束力的文书，以处理集束弹药的可怕影响，并呼吁各国在国内采取措施，立即冻结使用和转让所有集束弹药，直至这样的一项条约得到通过。	The United Nations has recently urged all Member States to address immediately the horrendous effects of cluster munitions by concluding a legally binding instrument and has called on States to take domestic measures to immediately freeze the use and transfer of all cluster munitions until such a treaty is adopted.
所以，	So,
所以，如果我去我的购物网站后台，这次是购物网站专业版，因为我们在专业商店点击产品，	So if i go in my shopsite backoffice and this time is says shopsite pro because we are in a pro store click on products,
看到那边的那条船了吗？	Look at that.See the boat over there?
同中国的方案现在是美国战地服务团成长最快的方案。	The programmes with China are now the fastest growing AFS programmes.
白沙鮻	Northern whiting
第二，在创作绿色就业时还须考虑工作流程。	Second, work processes must also be considered when creating green jobs.
了解大气稳定性的重要性	Importance of understanding atmospheric stability
你可以支付它的公平市场价值，然后用户被捐赠给慈善机构。	You could either pay the fair market value of it and that usually gets donated to a charity.
相比之下，蓝色垃圾桶应该用来处理那些不能分解并且会阻碍其他废物分解的垃圾。	In contrast, the blue dustbins should be used to dispose off wastes that cannot be decomposed and thy hinder the decomposition of other wastes.
我会为你做的。	I would for you.
我们知道你可以密切照顾你的孩子，但是使用保姆让你可以吃饭、睡觉，照顾自己。这有助于你继续成为最好的照顾者，来照顾你的孩子。	We know you can watch your child closely, but using a sitter allows you to eat, sleep, and care for yourself. This helps you continue being the best possible caregiver to your child.
在谈到床的时候，让我们不要忘记一个非常奇怪的故事。	Whilst talking about beds let us not forget a very odd story.
无国籍的人往往没有教育或医疗保健的权利。	People who are stateless often have no right to schooling or health care.
如果你是一个倾向于羞涩的人，这对你可能有点困难。	If you tend to be a shy person, this may be somewhat difficult for you.
如果您看不到它，可以通过按下右侧的按钮将其隐藏。	And if you don't see it it can be hidden by pressing the button on the right side.
随着全球难民论坛一周年纪念日的到来，我们必须不忘难民全球契约中关于儿童在流离失所数月内就应入学并学习的全球承诺，包括国际社会与难民接待国共同承担的履行这一承诺的责任。	As we mark one year on from the Global Refugee Forum, we must not lose sight of the global commitment made in the Global Compact on Refugees to get all children in school and learning within a few months of their displacement, including the responsibility the international community shares to enact this promise with refugee hosting countries.
它每天都在靠近，	It's nearer every day,
您的胃像拧成一团的绳子，又一波恶心感袭来，让您在短短一个小时内第三次跑进厕所。但这是什么原因呢？两个可能的罪魁祸首是胃病和食物中毒。然而，胃病与食物中毒有何不同呢？理解这种差异可能让您早日康复，甚至预防疾病的发生。	Your stomach is in knots as another wave of nausea strikes, sending you to the bathroom for the third time in an hour. But whats the cause? Two likely culprits are stomach bug and food poisoning. But how does stomach flu differ from food poisoning? Understanding the difference may lead to feeling better sooner and even prevent the illness from occurring in the first place.
那么，究竟什么是觉知？简单来说，觉知就是完全活在当下，专注于我们的想法和情感，不带有任何判断。通过练习觉知，我们可以学习如何管理压力，改善专注力，甚至提升我们的情绪！	So what exactly is mindfulness? Simply put, mindfulness means being fully present in the moment and paying attention to our thoughts and emotions without judgment. By practicing mindfulness, we can learn how to manage stress, improve focus, and even boost our mood!
1975年1月	January 1975
缔约国说，各级司法机构和部长已经对所提出的这些问题进行了深入广泛的审查。	The State party observes that the issues raised have already been extensively examined at all judicial levels and by the Minister.
只是打开邮件。	Which was just open the mail.
